production,movie_title 
" Warner Bros., Village Roadshow Pictures, Hoyts Distribution",Um Encontro a Três
" Twentieth Century Fox, Hyde Park Entertainment, Baldwin Entertainment Group",Death Sentence
" ApolloMedia Distribution, Crystal Sky Worldwide, Hador BG2 Productions Ltd.",Os Sabichões 2: Os Bebés-Génios
" New Line Cinema, FilmEngine, Rat Entertainment",Code Name: The Cleaner
" New Line Cinema, Fried Films, Meradin Productions",Agente Acidental
" Universal Pictures, Spyglass Entertainment, CCLA Productions",Connie and Carla
 Universal Pictures,Sweet Charity
" The Weinstein Company, Pathé, UK Film Council",Doogal
" Ghoulardi Film Company, Warner Bros., IAC Films",Inherent Vice
" AR Films, Aldamisa Entertainment, 1821 Pictures",Machete Kills
 Contrafilm,Battle of the Year
" New Line Cinema, Hard Eight Pictures",Willard - Mansão do Terror
" Paperboy Productions, ABC Studios",Perception            
" Mpower American Carol Holding, Mpower Pictures",An American Carol
" Pelican Productions LLC (I), Happy Madison Productions, Level 1 Entertainment",Strange Wilderness
" Warner Independent Pictures (WIP), Thousand Words, Section Eight",A Scanner Darkly
" Metanoia Films, Santa Fé Films",Little Boy
" Recorded Picture Company (RPC), Lago Film, Prospero Pictures",A Dangerous Method
" Goldwyn Films, Newmarket Capital Group, The Greenlight Fund",Topsy-Turvy
" AITD Productions, Boll Kino Beteiligungs GmbH & Co. KG, Herold Productions",Alone in the Dark - Sozinhos no Escuro
" New Line Cinema, Fine Line Features, Lou Yi Inc.",Birth
" Fox 2000 Pictures, Walden Media, Gran Via",Chasing Mavericks
" Bell Broadcast and New Media Fund, Damberger Film & Cattle Co., Rhombus Media",Passchendaele
" Miramax, Radar Pictures, Hollywood Gang Productions",Everybody's Fine
" Universal Pictures, Spyglass Entertainment, Strike Entertainment",Rasgo de Génio
" Summit Entertainment, Walden Media, Goldsmith-Thomas Productions",Bandslam
" Summit Entertainment, Intrepid Pictures, Galavis Film",The Cold Light of Day
" Before The Door Pictures, Washington Square Films, FilmNation Entertainment",Um Ano Muito Violento
" Endgame Entertainment, Ram Bergman Productions, The Weinstein Company",The Brothers Bloom
" Sidney Kimmel Entertainment, Likely Story, Projective Testing Service","Synecdoche, New York"
" Killer Films, John Wells Productions, John Goldwyn Productions",I'm Not There - Não Estou Aí
" UK Film Council, Surefire Film Productions, Autonomous",The Proposition
" DENTSU Music And Entertainment, Nibariki, Nippon Television Network (NTV)",Princess Mononoke
" Dimension Films, Blue Tulip Productions",Equilibrium
 EMI Films,Can't Stop the Music
" ARP Sélection, France 2 Cinéma, France 3 Cinéma",Boa Viagem
" Miramax, Industry Entertainment",The Yards
" Paramount Pictures, Scott Rudin Productions, Munich Film Partners New Century & Company (MFP) HAM Productions",Marci X - A Dama do Rap
" Anthem Productions, Paul Schiff Productions",My All-American
" Universal Pictures, Jolie Pas, Pellikola",Junto ao Mar
" Australian Film Finance Corporation (AFFC), Ming Productions, Bluewater Pictures",The Children of Huang Shi
" Independent Film Channel (IFC), Bristol Bay Productions, Peter Newman Productions",The Game of Their Lives
" Groundswell Productions, Hit The Ground Running Films",All Good Things
" Big Balloon Adventure Movie, Kenn Viselman Presents",The Oogieloves in the Big Balloon Adventure
" Majestic Films International, Newcomm, RCS",Rapa Nui
" Bandai Visual Company, Steamboy Committee, Studio 4°C",Steamboy
" Myriad Pictures, Wildwood Enterprises, Galena",People I Know
 Harlech Television (HTV),The Doombolt Chase            
" Hyde Park Films, Long Distance Films, Platinum Studios",Dylan Dog: Dead of Night
" Gaumont, CineComic, France 3 Cinéma",Os Visitantes da Idade Média
" Columbia Pictures Film Production Asia, Beijing Film Studio, China Film Group Corporation (CFGC)",CJ 7 - Um Amigo do Espaço
" Miramax, TalkStory Productions, Artemis Films",The Tempest
 FilmMcQueen,The Touch
" Cinema Management Group, Department of Trade and Industry of South Africa, The National Film and Video Foundation of SA",Zambézia
" Mod Producciones, First Generation Films, FilmNation Entertainment",Regressão
" Icon Productions, Irish DreamTime, Infinity Features Entertainment",Shattered
" Visualizer Film Productions, Taewon Entertainment, China Film Group Corporation (CFGC)",Three Kingdoms
" Enteraktion Studios, TW3 Entertainment",Dwegons and Leprechauns
" Grindstone Entertainment Group, Emmett/Furla/Oasis Films (EFO Films), Cheetah Vision",The Frozen Ground
" Millennium Films, Millennium Films, Winkler Films",Survivor
" Fuego Films, Epicentral Studios, La Piedra Films",Mãos de Pedra
" Camphor Cinema, Camphor Cinema",Ramanujan
" Constantin Film, Nouvelles Éditions de Films (NEF), G.T. Film Production",The Baader Meinhof Complex
" Tig Productions, Majestic Films International, Allied Filmmakers",Dances with Wolves
" WIP, Stratus Film Co., Bob Yari Productions",O Véu Pintado
 Universal Pictures,Sea of Love
" Columbia Pictures Corporation, Mosaic",Bad Teacher
" Warner Bros., Gaylord Films, Clifford Werber Productions",A Cinderella Story
" Warner Bros., Columbia Pictures Corporation, Dark Castle Entertainment",Thir13en Ghosts
" Dimension Films, Woods Entertainment",Scream
 Dark Castle Entertainment,House on Haunted Hill
" Universal Pictures, Amblin Entertainment, U-Drive Productions",Back to the Future
" Warner Bros., Hawk Films, Peregrine",The Shining
" Twentieth Century Fox, Robert Simonds Productions, Mediastream Dritte Film GmbH & Co. Beteiligungs KG",Just Married
 Cinestyle Media Group,Fight Valley
" Mandate Pictures, Bona Fide Productions, Echo Films",The Switch
 The Tyler Perry Company,I Can Do Bad All by Myself
" Corsan, Staccato Films",A Dupla Pele do Diabo
 495 Productions,"Gone, Baby, Gone            "
" Overture Films, Participant Media, Imagenation Abu Dhabi FZ",The Crazies
" Gullane Pictures, Destination Films, Isle of Man Film Commission",Thomas and the Magic Railroad
" Tokuma Shoten, Studio Ghibli, Nippon Television Network (NTV)",Spirited Away
" Dino De Laurentiis Company, Bounty Productions Ltd.",The Bounty
" Edko Films, Focus Films, Sil-Metropole Organisation",Firestorm
" Fox 2000 Pictures, Sunswept Entertainment, TSG Entertainment",The Book Thief
" Summit Entertainment, Alloy Entertainment, Goldcrest Pictures",Sex Drive
" Universal Pictures, Spyglass Entertainment, Birnbaum/Barber",Leap Year
 Samuel Bronston Productions,The Fall of the Roman Empire
" Rogue Pictures, Imagine Entertainment, Relativity Media",Take Me Home Tonight
" Walden Media, Gran Via Productions, Lemodeln Model & Talent Agency",Won't Back Down
" CiBy 2000, Sandcastle 5 Productions",Kansas City
" Metro-Goldwyn-Mayer (MGM), Dimension Films, Platinum Dunes",The Amityville Horror
" Universal Pictures, Atmosphere Entertainment MM, Romero-Grunwald Productions",Land of the Dead
" Bing Feng Bao Entertainment, Likely Story, RT Features",Indignation
" Warner Bros., Radar Pictures, Media Rights Capital (MRC)",The Invention of Lying
" Bona International Film Group, Sun Entertainment Culture, Universe Entertainment",Out of Inferno
" Krasnow Productions, Arnon Milchan Productions, Elektra Entertainment Group",The Nutcracker
" Beverly Detroit, Clinica Estetico, Good Machine",Adaptation.
" Fear and Loathing LLC, Rhino Films, Shark Productions",Fear and Loathing in Las Vegas
" New Line Cinema, Dark Horse Entertainment",The Mask
" Good Universe, Point Grey Pictures",Neighbors
" American Entertainment Partners II L.P., Gracie Films, Twentieth Century Fox",Big
" Metro-Goldwyn-Mayer (MGM), Marc Platt Productions",Legally Blonde
" Everyman Pictures, Dune Entertainment, Major Studio Partners",Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
" Paramount Pictures, Cinema Group Ventures",Star Trek III: The Search for Spock
" Happy Madison Productions, Out of the Blue... Entertainment, Touchstone Pictures",Deuce Bigalow: Male Gigolo
" Screen Gems, Lakeshore Entertainment, Firm Films",The Exorcism of Emily Rose
" Capella International, Eric's Boy, Juno Pix",Austin Powers: International Man of Mystery
 Stoney Lake Entertainment,Left Behind
" Columbia Pictures Corporation, Dimension Films, Triptych Pictures",Bad Santa
" The Family Stone, Fox 2000 Pictures, Major Studio Partners",The Family Stone
" Gold Circle Films, HBO Films, Playtone",My Big Fat Greek Wedding 2
" Metro-Goldwyn-Mayer (MGM), State Street Pictures, Cube Vision",Barbershop 2: Back in Business
" AMLF, The Saul Zaentz Company",Amadeus
" Twentieth Century Fox, Lawrence Gordon Productions, Silver Pictures",Predator
" Fox 2000 Pictures, Color Force, Dune Entertainment",Diary of a Wimpy Kid: Rodrick Rules
" Screen Gems, Original Film, Newmarket Films",Prom Night
" USA Films, Capitol Films, Film Council",Gosford Park
" Paramount Pictures, M.G. Films, Broadway Video",Mean Girls
" Universal Pictures, StudioCanal, Sidney Kimmel Entertainment",United 93
" Touchstone Pictures, Timnick Films, Blue Gardenia Productions",Under the Tuscan Sun
" Gravier Productions, Perdido Productions",Blue Jasmine
" New Regency Pictures, M Productions, Grisbi Productions, Le",Birdman or (The Unexpected Virtue of Ignorance)
" TriStar Pictures, Rastar Pictures, Zoetrope Studios",Peggy Sue Got Married
" Universal Pictures, Marc Platt Productions, NuAmerica Entertainment",Honey
 Hollywood Pictures,Spy Hard
" Paramount Pictures, Filmways Productions",Catch-22
" Wonderland Sound and Vision, Warner Bros. Television, College Hill Pictures Inc.",The O.C.            
" De Line Pictures, Legendary Entertainment",Observe and Report
" Enticing Entertainment, Island Film Group, Brookwell-McNamara Entertainment",Soul Surfer
" Dino De Laurentiis Company, Edward R. Pressman Film, Estudios Churubusco Azteca S.A.",Conan the Destroyer
" Embassy Pictures, EDI, Debra Hill Productions",The Fog
" Universal Pictures, Relativity Media, Stuber Productions",Love Happens
 Chartoff-Winkler Productions,Raging Bull
" Amblin Entertainment, Industrial Light & Magic (ILM), Paramount Pictures",Young Sherlock Holmes
" Metro-Goldwyn-Mayer (MGM), Lakeshore Entertainment, United Artists",Fame
" Pathé, Everest Entertainment, Cloud Eight Films",127 Hours
" DreamWorks, Sweetland Films",Small Time Crooks
" Columbia Pictures Corporation, Laurence Mark Productions",Center Stage
" CBS Films, Groundswell Productions, Imagine Entertainment",Love the Coopers
" Universal Pictures, Legendary Entertainment, Scott Rudin Productions",Steve Jobs
" Fox 2000 Pictures, Mad Chance, Nimbus Film Productions",Catch That Kid
" Fox Atomic, 1492 Pictures, Bece Canada Productions",Uma Noite com Beth Cooper
 Winkler Films,Life as a House
" Dimension Films, Permut Presentations, Shangri-La Entertainment",Youth in Revolt
" Cinema 77, Geria Productions, Filmways Pictures",Blow Out
" Eaves Movie Ranch, Incorporated Television Company (ITC), Wrather Productions",The Legend of the Lone Ranger
" Fox Searchlight Pictures, Good Machine, Canal+ Droits Audiovisuels",The Ice Storm
" Columbia Pictures Corporation, Merlin Films",The Tailor of Panama
" ASIG Productions, Castle Rock Entertainment, Envision Entertainment",And So It Goes
" After Dark Films, Dark Castle Entertainment, After Dark Films",Getaway
" Serendipity Point Films, First Choice Films, Hogarth Productions",As Paixões de Júlia
" Producers Sales Organization (PSO), Jonesfilm, Galactic Films",9½ Weeks
" Fries Entertainment, Weintraub Entertainment Group",Troop Beverly Hills
" Egoli Tossell Film, Zephyr Films, Egoli Tossell Film Halle",The Last Station
" Indian Paintbrush, Mr. Mudd, Right of Way Films",Labor Day
 Touchstone Pictures,Ed Wood
" CTB Film Company, Andreevsky Flag Film Company, X-Filme Creative Pool",Mongol: The Rise of Genghis Khan
" Paramount Pictures, Walt Disney Productions",Dragonslayer
" Castle Rock Entertainment, Turner Pictures (I), Fishmonger Films",Hamlet
" Golden Harvest Company, Northshore Investments Ltd.",Megaforce
" Warner Bros., Dark Castle Entertainment, Toff Guy Films",RocknRolla
" DreamWorks, Gravier Productions, Canal+",Anything Else
" Warner Bros., RatPac-Dune Entertainment, Faliro House Productions",Midnight Special
" Archer Street Productions, Latitude Media, Lionsgate",The Railway Man - Uma Longa Viagem
" X-Filme Creative Pool, Wega Film, Les Films du Losange",The White Ribbon
 Great Scott Productions Pty. Ltd.,O Último Bailarino de Mao
" Castle Rock Entertainment, Darkwoods Productions, Humble Journey Films",The Salton Sea
" New Century Entertainment Corporation, Alliance Entertainment, Turbo Productions",The Wraith
" Blackened Recordings, Exclusive Media Group, Hit The Lights",Metallica Through the Never
" Timberman-Beverly Productions, CBS Television Studios, Sony Pictures Television",Unforgettable            
" Brilliant Screen Studios, Grit Film Works, Synaptic Studios",Restoration
 Senator Entertainment Co,Os Informadores
" Central Films, Lumière International, TF1 International",Eu Venho Com a Chuva
" Films en Stock, Egoli Tossell Film, Canal+",Carlos            
" Arco Films S.L., Hool/Macdonald Productions, Silver Lion Films",O Último Combatente
" United Film Distribution Company (UFDC), Laurel Entertainment Inc., Dead Films Inc.",Day of the Dead
" Dino De Laurentiis Company, Famous Films (II)",Red Sonja
" Millennium Films, Cindy Cowan Entertainment, First Generation Films",Red Lights
" Hannibal Classics, Patriot Pictures, Vallelonga Productions",I Am Wrath
" Onyx Films, Millimages, Luxanimation",Renascimento
" TF1 International, Copperheart Entertainment, Téléfilm Canada",Wolves
" Columbia Pictures Corporation, Apatow Productions",Superbad
 The Tyler Perry Company,Madea Goes to Jail
" Twentieth Century Fox, EuropaCorp, Anka Film",Hitman - Agente 47
" United Artists, Lions Gate Films, Industrial Development Corporation of South Africa",Hotel Rwanda
" The Weinstein Company, Kanbar Entertainment, Kanbar Animation",Hoodwinked!
" Touchstone Pictures, Summit Entertainment, Offspring Entertainment",Step Up 2: The Streets
" Hannibal Classics, Emmett/Furla/Oasis Films (EFO Films), Union Investment Partners",The Prince
" Bob Industries, Maven Pictures",Black Nativity
" Cruise/Wagner Productions, Sogecine, Las Producciones del Escorpión",The Others
" Twentieth Century Fox, Brandywine Productions, SLM Production Group",Aliens
 Warner Bros.,My Fair Lady
" Genre Films, Twentieth Century Fox, WideAwake",Let's Be Cops
" United Artists, Mainline Pictures, Banyan Tree",City of Ghosts
" Mandalay Entertainment, Summer Knowledge LLC",I Know What You Did Last Summer
" Fox Searchlight Pictures, Michael London Productions, Sideways Productions Inc.",Sideways
" Metro-Goldwyn-Mayer (MGM), Jim Henson Pictures",Good Boy!
" Universal Pictures, Blackmaled Productions, Sean Daniel Company",The Best Man Holiday
" Compass International Pictures, Falcon International Productions",Halloween
" Universal Pictures, StudioCanal, Relativity Media",Smokin' Aces
" Miramax, Milo Productions, StudioCanal",40 Days and 40 Nights
" Warner Bros., Legendary Entertainment, Gerber Pictures",Beerfest
" CBS Films, Mel's Cite du Cinema, Storefront Films",Beastly
" Twisted Pictures, A Bigger Boat, Serendipity Productions",Saw 3D: The Final Chapter
" Broadway Pictures, Paramount Pictures, SNL Studios",A Night at the Roxbury
" Paramount Pictures, Happy Madison Productions",Dickie Roberts: Former Child Star
" Mayhem Pictures, Walt Disney Pictures","McFarland, USA"
" Sweet Tea Pictures LLC, Overbrook Entertainment",ATL
" British Broadcasting Corporation (BBC), Mutual Film Company, Paramount Pictures",A Simple Plan
" Alcon Entertainment, Burg/Koules Productions, Cube Vision",Lottery Ticket
" Brownstone Productions (II), Gold Circle Films",Pitch Perfect
" Dimension Films, Focus Features, Radar Pictures",They
" Craven-Maddalena Films, Dune Entertainment, Major Studio Partners",The Hills Have Eyes
" Warner Bros., Tollin/Robbins Productions",Summer Catch
" Millennium Films, Thunder Road Pictures, Millennium Films",Brooklyn's Finest
" 26 Films, Kanzaman",My Life in Ruins
" Full Sail Real World Education, Parallel Pictures",Larry the Cable Guy: Health Inspector
" Jim Henson Pictures, Children's Television Workshop (CTW), Global Entertainment Productions GmbH & Company Medien KG",The Adventures of Elmo in Grouchland
 Samuel Bronston Productions,55 Days at Peking
" TriStar Pictures, FilmDistrict, Ghost House Pictures",Evil Dead
" Universal Pictures, Depth of Field",American Dreamz
" Cannon Films, Warner Bros., Golan-Globus Productions",Superman IV: The Quest for Peace
" New Line Cinema, Media 8 Entertainment, True Grit Productions",Running Scared
" HandMade Films, The Vista Organisation",Shanghai Surprise
" Bull's Eye Entertainment, Bob Yari Productions, Contagious Entertainment",The Illusionist
 American Filmworks,Roar
" Sienna Films, Celluloid Dreams, MTV Films",Como Ela Dança
" Bobby Jones Films LLC, Dean River Productions, LIFE(n)",Bobby Jones: Stroke of Genius
" Universal Pictures, Cherry Road Films, Darko Entertainment",Southland Tales
" Touchstone Pictures, Jerry Bruckheimer Films, Persevere Productions Ltd.",O Preço da Coragem
" Chapter 2, Jaguar Films, Nexus Factory",Escobar: Paraíso Perdido
" Zeitman-Landers-Roberts Productions, Twentieth Century Fox",Damnation Alley
" Warner Bros., Dark Castle Entertainment, StudioCanal",The Apparition
" Futurikon, Luxanimation, Trixter Productions",Caçadores de Dragões
" Edward R. Pressman Film, River Road Entertainment, Iron Films (I)",Fur: An Imaginary Portrait of Diane Arbus
" Columbia Pictures Corporation, Imagine Entertainment",My Girl
" DreamWorks, Cobalt Media Group, Bisgrove Entertainment",House of Sand and Fog
" Columbia Pictures Corporation, Mirage Enterprises",Sense and Sensibility
" HanWay Films, UK Film Council, Bórd Scannán na hÉireann",Becoming Jane
" Twentieth Century Fox, American Entertainment Partners L.P., Amercent Films",Wall Street
" New Line Cinema, Motion Picture Corporation of America (MPCA)",Dumb and Dumber
" Morgan Creek Entertainment, SW7D Productions, Clifford Werber Productions",Sydney White
" Castle Rock Entertainment, Nelson Entertainment",When Harry Met Sally...
" Touchstone Pictures, Silver Screen Partners IV, A Steven Haft Production",Dead Poets Society
 Twentieth Century Fox,The Verdict
" MTV Films, Marquee Tollin/Robins, Paramount Pictures",Varsity Blues
" Rogue Pictures, Platinum Dunes, Phantom Four",The Unborn
" Studio 37, La Petite Reine, La Classe Américaine",The Artist
" DreamWorks, The Montecito Picture Company",Road Trip
" Indian Paintbrush, American Empirical Pictures, Moonrise",Moonrise Kingdom
" 1492 Pictures, CJ Entertainment, Hyde Park International",The Young Messiah
" New Line Cinema, Platinum Dunes, Next Entertainment",The Texas Chainsaw Massacre: The Beginning
" Thunder Road Pictures, Warner Bros. Television, CBS Television Studios",The Messengers            
" Revolution Studios, Happy Madison Productions, Out of the Blue... Entertainment",The Master of Disguise
" Estudios Picasso, Wild Bunch, Tequila Gang",Pan's Labyrinth
" Warner Bros., Village Roadshow Pictures, NPV Entertainment",See Spot Run
" Columbia Pictures Corporation, New Deal Productions",Baby Boy
" StudioCanal, Working Title Films, Big Talk Productions",Hot Fuzz
" Columbia Pictures Corporation, Happy Madison Productions, Robert Simonds Productions",Joe Dirt
" Screen Gems, Vertigo Entertainment",The Roommate
" Picturehouse, Scion Films, Inferno Distribution",The Women
" Stone Group Pictures, Vision International",Double Impact
" AMC Pictures, Arion Communications Ltd., Dagsljus Filmequipment",O Cavaleiro Templário
" The Weinstein Company, Mediapro, Gravier Productions",Vicky Cristina Barcelona
" Fox Atomic, Dune Entertainment",Jennifer's Body
" Warner Bros., Gaylord Films, John Wells Productions",White Oleander
 Punch 21 Productions,Boys and Girls
 Summit Entertainment,Remember Me
" Weintraub Entertainment Group, The Catalina Production Group",My Stepmother Is an Alien
" TriStar Pictures, Clinica Estetico",Philadelphia
" Code Entertainment, Jersey Shore, Marigold Productions Inc.",Drowning Mona
" Columbia Pictures Corporation, Centropolis Film Productions",The Thirteenth Floor
" Focus Features, Golden Mean, Radar Pictures",How to Deal
" Jack Rollins & Charles H. Joffe Productions, Orion Pictures",Radio Days
" Hollywood Pictures, Seven Arts Pictures, Beacon Communications",Duets
" DreamWorks, Gravier Productions, Perdido Productions",Hollywood Ending
" New Line Cinema, Takoma Entertainment Group, Base 12 Productions",Detroit Rock City
" Cookout Productions, Flavor Unit Entertainment",The Cookout
" American International Pictures (AIP), Meteor Joint Venture, Palladium Productions",Meteor
" Thorn EMI Screen Entertainment, Highlander Productions Limited, Davis-Panzer Productions",Highlander
" DreamWorks, Neal Street Productions, Province of British Columbia Production Services Tax Credit",Things We Lost in the Fire
" Worldview Entertainment, Keep Your Head, Kingsgate Films",The Immigrant
" Pathé, Cloud Eight Films, Decibel Films",Trance
" DC Entertainment, Quincy Jones-David Salzman Entertainment, Warner Bros.",Steel
" Metro-Goldwyn-Mayer (MGM), Turbo Productions, Boz Productions",Soul Plane
" Good Films, Miromar Entertainment",Good
" Pathé Renn Productions, Hirsch, Les Productions du Chicon",Bem-vindo ao Norte
" Merchant Ivory Productions, Sony Pictures Classics, Shanghai Film Group",The White Countess
" Stage 6 Films, Inferno Distribution, Hachiko",Hachi: A Dog's Tale
" Fidélité Films, Wild Bunch, BUF",Enter the Void - Viagem Alucinante
" EuropaCorp, Ithaca, The Javelina Film Company",The Homesman
 Morgan Creek Entertainment,Juwanna Mann
" Alliance Atlantis Communications, Serendipity Point Films, Ego Film Arts",Ararat
" Lucky Monkey Pictures, Red Hour Films, Alvernia Production",Vamps
 Rubicon TV AS,Lilyhammer            
" Eskwad, Pathé, Lobster Tree",Zulu
" Gold Circle Films, Strike Entertainment, Brightlight Pictures",Slither - Os Invasores
" GreeneStreet Films, Sidney Kimmel Entertainment, Bonnie Timmermann Productions",Slow Burn
" Interscope Communications, Silver Screen Partners III, Touchstone Pictures",3 Men and a Baby
" Hughes Entertainment, Twentieth Century Fox",Home Alone
" Paramount Pictures, Eddie Murphy Productions, Don Simpson/Jerry Bruckheimer Films",Beverly Hills Cop
" Addison Street Films, North Shore Entertainment, Road Pictures",Madison
" EuropaCorp, Samitose Productions, TF1 Films Production",Wasabi - Duros de Roer
" Columbia Pictures Corporation, Mirage Enterprises, Punch Productions",Tootsie
" Paramount Pictures, Don Simpson/Jerry Bruckheimer Films",Top Gun
" Asia Union Film & Entertainment Ltd., China Film Co-Production Corporation, Columbia Pictures Film Production Asia","Crouching Tiger, Hidden Dragon"
" DreamWorks, Jinks/Cohen Company",American Beauty
" See-Saw Films, The Weinstein Company, UK Film Council",The King's Speech
 Universal Pictures,Twins
 Arthur Cohn Productions,The Yellow Handkerchief
" DiGa Studios, Dimension Films, Dimension Television",Scream: The TV Series            
" Amblin Entertainment, The Guber-Peters Company, Warner Bros.",The Color Purple
" Black Bear Pictures, FilmNation Entertainment, Bristol Automotive",The Imitation Game
" Color Force, Dayday Films, Dune Entertainment III",Diary of a Wimpy Kid
" CJ Entertainment, Doosabu Film, Polygon Entertainment",Tidal Wave
 Universal Pictures,Coal Miner's Daughter
" Universal Pictures, De Milo, Toma 78",Mamã
 Warner Bros.,Vacation
 Warner Bros.,Private Benjamin
" Pathé Pictures International, Granada Film Productions, Pathé Renn Productions",The Queen
 The Geffen Company,Beetlejuice
" Dickhouse Productions, MTV Films",Bad Grandpa
" Columbia Pictures Corporation, DiNovi Pictures",Little Women
" Screen Gems, Davis Entertainment",When a Stranger Calls
" Cross Creek Pictures, Hammer Films, Alliance Films",The Woman in Black
" Lions Gate Films, The Tyler Perry Company, Capital Arts Entertainment",Why Did I Get Married?
" Paramount Pictures, Tollin/Robbins Productions, Mediastream Zweite Film GmbH & Co. Productions KG",Big Fat Liar
" Baltimore Pictures, New Line Cinema, Punch Productions",Wag the Dog
" EMI Films, Universal Pictures",The Deer Hunter
" Walt Disney Pictures, Teen Life Productions",The Lizzie McGuire Movie
" Exclusive Media Group, Participant Media, Imagenation Abu Dhabi FZ",Snitch
" Dimension Films, Los Hooligans Productions",The Faculty
" Legendary Entertainment, Universal Pictures",Krampus
" Universal Pictures, Original Film, Newmarket Capital Group",The Skulls
" Exclusive Media Group, Emmett/Furla/Oasis Films (EFO Films), Hedge Fund Film Partners",End of Watch
" Warner Bros., Karz Entertainment, Big Ticket Productions",Malibu's Most Wanted
 Touchstone Pictures,What's Love Got to Do with It
" Miramax, Woods Entertainment, Across the River Productions",Cop Land
" Twentieth Century Fox, Wind Dancer Productions",Where the Heart Is
" Working Title Films, Dentsu Motion Pictures, Fuji Television Network",The Theory of Everything
" Columbia Pictures Corporation, Original Film, Neal H. Moritz Productions",Not Another Teen Movie
 Horizon Pictures (II),Lawrence of Arabia
" Bob Industries, Fox Searchlight Pictures, Pacific Standard",Wild
" Gold Circle Films, 26 Films, Visionview Production",The Wedding Date
" Dimension Films, Nightfall Productions, Trancas International Films",Halloween: Resurrection
" Act III Communications, Buttercup Films Ltd., The Princess Bride Ltd.",The Princess Bride
" Rogue Pictures, Scion Films, Crystal Lake Entertainment",The Last House on the Left
" Harpo Films, Marshall Production, The Weinstein Company",The Great Debaters
" Dimension Films, Spectacle Entertainment Group, Trancas International Films",Halloween II
" FilmDistrict, Bold Films, MWM (MadisonWellsMedia)",Drive
 Twentieth Century Fox,The Object of My Affection
" Twentieth Century Fox, Walden Media",Because of Winn-Dixie
" Walt Disney Pictures, Confessions Productions, Argentum Film Produktion und Betriebes KG",Confissões de uma Adolescente
" Fox Atomic, DNA Films, UK Film Council",28 Weeks Later
" Affirm Films, Mandalay Pictures",When the Game Stands Tall
 40 Acres & A Mule Filmworks,Love & Basketball
" Fox 2000 Pictures, Radar Pictures, Dune Entertainment III",All About Steve
" Columbia Pictures Corporation, Red Wagon Entertainment",The Craft
" Columbia Pictures Corporation, Merchant Ivory Productions",The Remains of the Day
" BBC Films, Thema Production, Jada Productions",Match Point
" Fox 2000 Pictures, Walden Media, DiNovi Pictures",Ramona and Beezus
" Hollywood Pictures, Caravan Pictures, New Crime Productions",Grosse Pointe Blank
" Artisan Entertainment, Haxan Films",Book of Shadows: Blair Witch 2
" New Line Cinema, Lawrence Gordon Productions, Ghoulardi Film Company",Boogie Nights
 Columbia Pictures Corporation,Nowhere to Run
" Fox 2000 Pictures, Zucker-Netter Productions, Major Studio Partners",Flicka
" Walt Disney Pictures, Beacon Communications, Scholastic Productions",Tuck Everlasting
" Twentieth Century Fox, WWE Studios, Pacific Film and Television Commission",The Marine
" Phoenix Pictures, Canal+ Droits Audiovisuels, Original Film",Mitos Urbanos 2
" Artists First, Monkeypaw Productions, New Line Cinema",Keanu
" Fox Atomic, Craven-Maddalena Films, Dune Entertainment",The Hills Have Eyes II
" Screen Gems, Maguire Entertainment, Material Pictures",Country Strong
" Sidney Kimmel Entertainment, Electric City Entertainment, Verisimilitude",The Place Beyond the Pines
" Metro-Goldwyn-Mayer (MGM), Hoyts Distribution, Beacon Communications",Comportamento Perturbado
" Relativity Media, Irish DreamTime, SPD Films",The November Man
" Ambridge Film Partnership, Behaviour Worldwide, Eye of the Beholder Ltd.",Um Olhar Obsessivo
" Dino De Laurentiis Company, Universal Pictures",Firestarter
" Voltage Pictures, Grosvenor Park Media, Film Capital Europe Funds (FCEF )",The Hurt Locker
" Plan B Entertainment, 1984 Private Defense Contractors, Annapurna Pictures",Killing Them Softly
" Lionsgate, Film4, Demarest Films",A Most Wanted Man
" Regency Enterprises, New Regency Pictures, MBST/Lloyd Productions",Freddy Got Fingered
" New Line Cinema, Lawrence Bender Productions",Knockaround Guys
" Lions Gate Films, Cinerenta Medienbeteiligungs KG, Ignite Entertainment",Confidence
" Arc Productions, Big Idea Productions, Starz Animation",The Pirates Who Don't Do Anything: A VeggieTales Movie
 3ality Digital Entertainment,U2 3D
" Focus Features, Random House Films, Film4",One Day
" Atlas Entertainment, Forensic Films, HBO Films",Idlewild
" Davis-Panzer Productions, Dimension Films",Highlander: Endgame
" Mandate Pictures, Vincent Pictures, Flower Films (II)",Whip It
" Metro-Goldwyn-Mayer (MGM), Potboiler Productions, Winkler Films",De-Lovely
" Arcade Pictures, Iron Fists",The Man with the Iron Fists
 October Films,The Muse
" Touchstone Pictures, Jack Rollins & Charles H. Joffe Productions",New York Stories
" Polygram Filmed Entertainment, Lyrick Studios Video, Good Egg Productions",Barney's Great Adventure
" Baltimore Pictures, Home Fries Productions Inc., Kasdan Pictures",Home Fries
" Polygram Filmed Entertainment, Working Title Films",The Big Lebowski
" Paramount Classics, New Deal Productions, Southern Cross the Dog Productions",Black Snake Moan
" Fox 2000 Pictures, Friendly Productions",Here on Earth
 Embassy International Pictures,Brazil
" New Line Cinema, FilmEngine, ChickFlicks Productions",Raise Your Voice
" Alphaville Films, Cosmic Pictures, IM Filmproduktion",Dark Blue
